id,question_id,player_id,playerAnswer,game_id,correct
1,CLR,050d5cd54ede38e88af0240b2f475617,c#,1,t
2,X* p1 = new X;,050d5cd54ede38e88af0240b2f475617,c/c++,1,t
3,cleaning up unused memory,050d5cd54ede38e88af0240b2f475617,garbage collection,1,t
4,var myList = new List<int>();,050d5cd54ede38e88af0240b2f475617,c#,1,t
5,if __name__=='__main__':,050d5cd54ede38e88af0240b2f475617,python,1,t
6,rebase,050d5cd54ede38e88af0240b2f475617,git,1,t
7,steps in a recipe,050d5cd54ede38e88af0240b2f475617,list,1,t
8,phone book,050d5cd54ede38e88af0240b2f475617,map,1,t
9,package org.foo,050d5cd54ede38e88af0240b2f475617,java,1,t
10,throws,050d5cd54ede38e88af0240b2f475617,c#,1,f
11,'Hello'[:2],050d5cd54ede38e88af0240b2f475617,python,1,t
12,friend void myFunction();,050d5cd54ede38e88af0240b2f475617,c/c++,1,t
13,back button history in browser,050d5cd54ede38e88af0240b2f475617,set,1,f
14,"def infinite:
	x=1
	yield x
	x=x+1",050d5cd54ede38e88af0240b2f475617,python,1,t
15,[x for x in range(12)],050d5cd54ede38e88af0240b2f475617,python,1,t
16,"[(x,x+1) for x in range(1,6,2)]",050d5cd54ede38e88af0240b2f475617,python,1,t
17,int foo;,050d5cd54ede38e88af0240b2f475617,static typing,1,f
18,lambda x: x+3,050d5cd54ede38e88af0240b2f475617,python,1,t
19,#Comments,050d5cd54ede38e88af0240b2f475617,matlab,1,f
20,copying an array,050d5cd54ede38e88af0240b2f475617,O(n),1,t
21,Foo::~Foo() {};,050d5cd54ede38e88af0240b2f475617,c/c++,1,t
22,type erasure,050d5cd54ede38e88af0240b2f475617,java,1,t
23,CLR,050d5cd54ede38e88af0240b2f475617,c#,2,t
24,X* p1 = new X;,050d5cd54ede38e88af0240b2f475617,c/c++,2,t
25,cleaning up unused memory,050d5cd54ede38e88af0240b2f475617,garbage collection,2,t
26,var myList = new List<int>();,050d5cd54ede38e88af0240b2f475617,c#,2,t
27,if __name__=='__main__':,050d5cd54ede38e88af0240b2f475617,python,2,t
28,rebase,050d5cd54ede38e88af0240b2f475617,git,2,t
29,steps in a recipe,050d5cd54ede38e88af0240b2f475617,list,2,t
30,phone book,050d5cd54ede38e88af0240b2f475617,map,2,t
31,package org.foo,050d5cd54ede38e88af0240b2f475617,java,2,t
32,throws,050d5cd54ede38e88af0240b2f475617,c#,2,f
33,'Hello'[:2],050d5cd54ede38e88af0240b2f475617,python,2,t
34,friend void myFunction();,050d5cd54ede38e88af0240b2f475617,c/c++,2,t
35,back button history in browser,050d5cd54ede38e88af0240b2f475617,set,2,f
36,"def infinite:
	x=1
	yield x
	x=x+1",050d5cd54ede38e88af0240b2f475617,python,2,t
37,[x for x in range(12)],050d5cd54ede38e88af0240b2f475617,python,2,t
38,"[(x,x+1) for x in range(1,6,2)]",050d5cd54ede38e88af0240b2f475617,python,2,t
39,int foo;,050d5cd54ede38e88af0240b2f475617,static typing,2,f
40,lambda x: x+3,050d5cd54ede38e88af0240b2f475617,python,2,t
41,#Comments,050d5cd54ede38e88af0240b2f475617,matlab,2,f
42,copying an array,050d5cd54ede38e88af0240b2f475617,O(n),2,t
43,Foo::~Foo() {};,050d5cd54ede38e88af0240b2f475617,c/c++,2,t
44,type erasure,050d5cd54ede38e88af0240b2f475617,java,2,t
45,CLR,050d5cd54ede38e88af0240b2f475617,c#,3,t
46,X* p1 = new X;,050d5cd54ede38e88af0240b2f475617,c/c++,3,t
47,cleaning up unused memory,050d5cd54ede38e88af0240b2f475617,garbage collection,3,t
48,var myList = new List<int>();,050d5cd54ede38e88af0240b2f475617,c#,3,t
49,if __name__=='__main__':,050d5cd54ede38e88af0240b2f475617,python,3,t
50,rebase,050d5cd54ede38e88af0240b2f475617,git,3,t
51,steps in a recipe,050d5cd54ede38e88af0240b2f475617,list,3,t
52,phone book,050d5cd54ede38e88af0240b2f475617,map,3,t
53,package org.foo,050d5cd54ede38e88af0240b2f475617,java,3,t
54,throws,050d5cd54ede38e88af0240b2f475617,c#,3,f
55,'Hello'[:2],050d5cd54ede38e88af0240b2f475617,python,3,t
56,friend void myFunction();,050d5cd54ede38e88af0240b2f475617,c/c++,3,t
57,back button history in browser,050d5cd54ede38e88af0240b2f475617,set,3,f
58,"def infinite:
	x=1
	yield x
	x=x+1",050d5cd54ede38e88af0240b2f475617,python,3,t
59,[x for x in range(12)],050d5cd54ede38e88af0240b2f475617,python,3,t
60,"[(x,x+1) for x in range(1,6,2)]",050d5cd54ede38e88af0240b2f475617,python,3,t
61,int foo;,050d5cd54ede38e88af0240b2f475617,static typing,3,f
62,lambda x: x+3,050d5cd54ede38e88af0240b2f475617,python,3,t
63,#Comments,050d5cd54ede38e88af0240b2f475617,matlab,3,f
64,copying an array,050d5cd54ede38e88af0240b2f475617,O(n),3,t
65,Foo::~Foo() {};,050d5cd54ede38e88af0240b2f475617,c/c++,3,t
66,type erasure,050d5cd54ede38e88af0240b2f475617,java,3,t
67,lambda x: x+3,49961b7a851de5d05e3e15cd00211ead,javascript,4,f
68,Thread synchronization primitive,49961b7a851de5d05e3e15cd00211ead,type declaration,4,f
69,throws,49961b7a851de5d05e3e15cd00211ead,java,4,t
70,Foo extends Bar,49961b7a851de5d05e3e15cd00211ead,inheritance,4,t
71,steps in a recipe,49961b7a851de5d05e3e15cd00211ead,map,4,f
72,Foo foo = new Foo();,49961b7a851de5d05e3e15cd00211ead,constructor,4,t
73,copying an array,49961b7a851de5d05e3e15cd00211ead,O(log(n)),4,f
74,Foo::~Foo() {};,49961b7a851de5d05e3e15cd00211ead,java,4,f
75,index,49961b7a851de5d05e3e15cd00211ead,list,4,f
76,Dijkstra's algorithm,49961b7a851de5d05e3e15cd00211ead,O(n*log(n)),4,f
77,definition of similar objects,49961b7a851de5d05e3e15cd00211ead,class,4,t
78,#Comments,49961b7a851de5d05e3e15cd00211ead,c/c++,4,f
79,"public void foo(){
	super();
...
}",49961b7a851de5d05e3e15cd00211ead,overriding,4,t
80,oracle,49961b7a851de5d05e3e15cd00211ead,java,4,t
81,phone book,49961b7a851de5d05e3e15cd00211ead,list,4,f
82,a instanceof MyClass,49961b7a851de5d05e3e15cd00211ead,java,4,t
83,lambda x: x+3,49961b7a851de5d05e3e15cd00211ead,javascript,5,f
84,Thread synchronization primitive,49961b7a851de5d05e3e15cd00211ead,type declaration,5,f
85,throws,49961b7a851de5d05e3e15cd00211ead,java,5,t
86,Foo extends Bar,49961b7a851de5d05e3e15cd00211ead,inheritance,5,t
87,steps in a recipe,49961b7a851de5d05e3e15cd00211ead,map,5,f
88,Foo foo = new Foo();,49961b7a851de5d05e3e15cd00211ead,constructor,5,t
89,copying an array,49961b7a851de5d05e3e15cd00211ead,O(log(n)),5,f
90,Foo::~Foo() {};,49961b7a851de5d05e3e15cd00211ead,java,5,f
91,index,49961b7a851de5d05e3e15cd00211ead,list,5,f
92,Dijkstra's algorithm,49961b7a851de5d05e3e15cd00211ead,O(n*log(n)),5,f
93,definition of similar objects,49961b7a851de5d05e3e15cd00211ead,class,5,t
94,#Comments,49961b7a851de5d05e3e15cd00211ead,c/c++,5,f
95,"public void foo(){
	super();
...
}",49961b7a851de5d05e3e15cd00211ead,overriding,5,t
96,oracle,49961b7a851de5d05e3e15cd00211ead,java,5,t
97,phone book,49961b7a851de5d05e3e15cd00211ead,list,5,f
98,a instanceof MyClass,49961b7a851de5d05e3e15cd00211ead,java,5,t
770,rebase,e5cbb18b60e6036190a6287b244a73f1,git,42,t
99,class A: public B{...};,2d3ae4713ccdb838eeb397e237fe8123,c/c++,6,t
100,oracle,2d3ae4713ccdb838eeb397e237fe8123,java,6,t
101,class with some missing implementation,2d3ae4713ccdb838eeb397e237fe8123,abstract class,6,t
102,C& C::(operator=(const C&);,2d3ae4713ccdb838eeb397e237fe8123,c/c++,6,t
103,phone book,2d3ae4713ccdb838eeb397e237fe8123,list,6,f
104,diff,2d3ae4713ccdb838eeb397e237fe8123,c/c++,6,f
105,type erasure,2d3ae4713ccdb838eeb397e237fe8123,java,6,t
106,merge sort,2d3ae4713ccdb838eeb397e237fe8123,O(n*log(n)),6,t
107,document.getElementById(foo),2d3ae4713ccdb838eeb397e237fe8123,c/c++,6,f
108,public T head(List<T> lst){ return lst.get(0);},2d3ae4713ccdb838eeb397e237fe8123,generic types,6,t
109,===,2d3ae4713ccdb838eeb397e237fe8123,javascript,6,t
110,Foo::~Foo() {};,2d3ae4713ccdb838eeb397e237fe8123,javascript,6,f
111,people you know,2d3ae4713ccdb838eeb397e237fe8123,tree,6,f
112,(function(){...}());,2d3ae4713ccdb838eeb397e237fe8123,java,6,f
113,JVM,2d3ae4713ccdb838eeb397e237fe8123,java,6,t
114,Dijkstra's algorithm,2d3ae4713ccdb838eeb397e237fe8123,O(n*log(n)),6,f
115,fetch,2d3ae4713ccdb838eeb397e237fe8123,javascript,6,f
